task,scene_file,desired_goal,min_costs
put the white mug on the plate,libero_90_LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate.txt,and (on porcelain_mug0 plate0),4
pick up the book and place it in the right compartment of the caddy,libero_90_STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
put the chocolate pudding to the left of the plate,libero_90_LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_left_of_the_plate.txt,and (on chocolate_pudding0 table0),4
put the black bowl in the top drawer of the cabinet,libero_90_KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet.txt,and (in akita_black_bowl0 white_cabinet0),4
pick up the book and place it in the left compartment of the caddy,libero_90_STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
pick up the book on the right and place it on the cabinet shelf,libero_90_STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_on_the_cabinet_shelf.txt,and (in yellow_book0 wooden_two_layer_shelf0),4
put the chocolate pudding to the right of the plate,libero_90_LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_right_of_the_plate.txt,and (on chocolate_pudding0 table0),4
close the top drawer of the cabinet,libero_90_KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet.txt,and (closed white_cabinet0),4
put the black bowl on the plate,libero_90_KITCHEN_SCENE5_put_the_black_bowl_on_the_plate.txt,and (on akita_black_bowl0 plate0),4
close the top drawer of the cabinet,libero_90_KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet.txt,and (closed wooden_cabinet0),5
open the top drawer of the cabinet and put the bowl in it,libero_90_KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it.txt,and (opened wooden_cabinet0) (in akita_black_bowl0 wooden_cabinet0),6
pick up the tomato sauce and put it in the basket,libero_90_LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_put_it_in_the_basket.txt,and (in tomato_sauce0 basket0),5
put the frying pan on the stove,libero_90_KITCHEN_SCENE3_put_the_frying_pan_on_the_stove.txt,and (on chefmate_8_frypan0 flat_stove0),4
pick up the book and place it in the back compartment of the caddy,libero_90_STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
pick up the alphabet soup and put it in the basket,libero_90_LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket.txt,and (in alphabet_soup0 basket0),5
put the yellow and white mug to the front of the white mug,libero_90_KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug.txt,and (on white_yellow_mug0 table0),4
put the red mug on the left plate,libero_90_LIVING_ROOM_SCENE5_put_the_red_mug_on_the_left_plate.txt,and (on red_coffee_mug0 plate0),5
put the wine bottle in the bottom drawer of the cabinet,libero_90_KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet.txt,and (in wine_bottle0 white_cabinet0),4
pick up the ketchup and put it in the basket,libero_90_LIVING_ROOM_SCENE1_pick_up_the_ketchup_and_put_it_in_the_basket.txt,and (in ketchup0 basket0),5
pick up the book and place it in the front compartment of the caddy,libero_90_STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
put the black bowl in the top drawer of the cabinet,libero_90_KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet.txt,and (in akita_black_bowl0 wooden_cabinet0),5
put the red mug on the plate,libero_90_LIVING_ROOM_SCENE6_put_the_red_mug_on_the_plate.txt,and (on red_coffee_mug0 plate0),4
put the black bowl in the middle on the plate,libero_90_KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate.txt,and (on akita_black_bowl1 plate0),5
open the top drawer of the cabinet,libero_90_KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet.txt,and (opened wooden_cabinet0),4
turn on the stove and put the frying pan on it,libero_90_KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it.txt,and (turn_on flat_stove0) (on chefmate_8_frypan0 flat_stove0),7
put the frying pan on the cabinet shelf,libero_90_KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf.txt,and (in chefmate_8_frypan0 wooden_two_layer_shelf0),4
turn on the stove and put the frying pan on it,libero_90_KITCHEN_SCENE9_turn_on_the_stove_and_put_the_frying_pan_on_it.txt,and (turn_on flat_stove0) (on chefmate_8_frypan0 flat_stove0),7
put the frying pan under the cabinet shelf,libero_90_KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf.txt,and (in chefmate_8_frypan0 wooden_two_layer_shelf0),4
stack the black bowl in the middle on the black bowl at the front,libero_90_KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl.txt,and (on akita_black_bowl1 akita_black_bowl2),5
put the chocolate pudding in the top drawer of the cabinet and close it,libero_90_KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it.txt,and (in chocolate_pudding0 wooden_cabinet0) (closed wooden_cabinet0),7
pick up the ketchup and put it in the tray,libero_90_LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_in_the_tray.txt,and (in ketchup0 wooden_tray0),5
put the black bowl on top of the cabinet,libero_90_KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet.txt,and (on akita_black_bowl0 white_cabinet0),4
pick up the book and place it in the front compartment of the caddy,libero_90_STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
pick up the cream cheese box and put it in the basket,libero_90_LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket.txt,and (in cream_cheese0 basket0),5
pick up the book and place it in the left compartment of the caddy,libero_90_STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
put the red mug on the right plate,libero_90_LIVING_ROOM_SCENE5_put_the_red_mug_on_the_right_plate.txt,and (on red_coffee_mug0 plate1),5
close the microwave,libero_90_KITCHEN_SCENE6_close_the_microwave.txt,and (closed microwave0),4
open the top drawer of the cabinet,libero_90_KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet.txt,and (opened wooden_cabinet0),5
pick up the white mug and place it to the right compartment of the caddy,libero_90_STUDY_SCENE3_pick_up_the_white_mug_and_place_it_to_the_right_of_the_caddy.txt,and (on porcelain_mug0 table0),4
put the white bowl on the plate,libero_90_KITCHEN_SCENE7_put_the_white_bowl_on_the_plate.txt,and (on white_bowl0 plate0),4
pick up the book on the left and place it on top of the shelf,libero_90_STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf.txt,and (on yellow_book1 wooden_two_layer_shelf0),4
put the black bowl at the front on the plate,libero_90_KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate.txt,and (on akita_black_bowl0 plate0),5
pick up the salad dressing and put it in the tray,libero_90_LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_put_it_in_the_tray.txt,and (in new_salad_dressing0 wooden_tray0),5
put the frying pan on top of the cabinet,libero_90_KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet.txt,and (on chefmate_8_frypan0 wooden_two_layer_shelf0),4
put the butter at the front in the top drawer of the cabinet and close it,libero_90_KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it.txt,and (in butter0 wooden_cabinet0) (closed wooden_cabinet0),7
put the black bowl on top of the cabinet,libero_90_KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet.txt,and (on akita_black_bowl0 white_cabinet0),4
